id,description.style,description.theme,description.object,description.color,description.tone,description.composition,description.image_genre
Wikiart_858,Social Realism,,"Man, Tents, Car",Black And White,Dark,Central Figure With Background Elements,Portrait
Wikiart_859,Impressionism,,"Trees, Hills, Sky",Green,Bright,Balanced,Landscape
Wikiart_860,Impressionism,,Satyr Playing A Flute,Bronze,Dark,Three-Dimensional,Sculpture
Wikiart_861,Shin-hanga,,Parrot,White,Neutral,Centered,Animal
Wikiart_862,Ukiyo-e,,"Fish, Octopus",Earth Tones,Neutral,Balanced,Still Life
Wikiart_863,Expressionism,,"Factory, Smoke, Person",Yellow,Bright,Central Figure With Background Elements,Portrait
Wikiart_864,Kitsch,,Horse,Monochrome,Neutral,Balanced Sculpture,Animal
Wikiart_865,Romanticism,,Male Figure In Formal Attire,Dark Tones With Muted Blues And Blacks,Neutral,Centered Composition,Portrait
Wikiart_866,Romanticism,,"Cityscape, River, Boats",Earth Tones,Neutral,Balanced,Landscape
Wikiart_867,Impressionism,,People In Traditional Clothing,White,Neutral,Group Arrangement,Portrait
Wikiart_868,Analytical Cubism,,"Human Figure, Vase",Brown,Neutral,"Fragmented, Geometric",Portrait
Wikiart_869,Neoclassicism,,,,,,
Wikiart_870,Post-Impressionism,,People In A Social Gathering,"Warm Tones With Prominent Use Of Yellows, Browns, And Reds",Bright,Balanced With A Focus On The Central Figure,Portrait
Wikiart_871,Romanticism,,"People, Boat, Flag, Ice",Dark,"Somber, Dramatic","Diagonal, Dynamic",Historical
Wikiart_872,Divisionism,,Haystacks,Yellow,Bright,"Balanced, With A Focus On The Haystacks In The Foreground",Landscape
Wikiart_873,realism,none,a person in traditional clothing,sepia,neutral,central composition,portrait
Wikiart_874,Tonalism,,"Trees, Landscape","Earthy Tones, Green, Blue",Neutral,Diagonal Emphasis,Landscape
Wikiart_875,Neoclassicism,,Church/Cathedral,Earth Tones,Neutral,Centralized,Architecture
Wikiart_876,Romanticism,,Boy Playing Flute,Earth Tones,Warm,Balanced,Portrait
Wikiart_877,Romanticism,,"River, Trees, Distant Buildings",Dark Blues And Grays,Dark,Balanced With A Strong Horizon Line,Landscape
Wikiart_878,realism,religious,figures in robes,monochrome (stone color),neutral,vertical arrangement,religious
Wikiart_879,Romanticism,,"Two People, Dog, Books, Furniture",Brown,Neutral,Balanced,Portrait
Wikiart_880,Ukiyo-e,,"Seated Person, Fan","Light Blue, White, Multicolored Fan",Neutral,Central Figure,Portrait
Wikiart_881,Naturalism,,A Man In Uniform With Two Children In A Graveyard,Earth Tones,Somber,Grouping Of Figures With A Focus On Interaction,Genre Painting
Wikiart_882,Abstract Art,,Fish,Yellow,Bright,Asymmetrical,Still Life
Wikiart_883,Expressionism,,"Bird, Human Figure",Earth Tones,Bright,Dynamic,Mythological
Wikiart_884,Post-Impressionism,,"Airplanes, Clouds, Landscape",Yellow,Bright,Panoramic,Landscape
Wikiart_885,Impressionism,,"Pyramids, River, Distant Horizon","Warm Hues (Yellow, Orange)",Bright,Horizontal,Landscape
Wikiart_886,Romanticism,,"Three People, Textiles, Books",Earth Tones,Neutral,Balanced And Structured,Genre Painting
Wikiart_887,pointillism,landscape,"windmill, trees, fence",green,bright,centralized composition with a focus on the windmill,landscape
Wikiart_888,Regionalism,,People Of Various Ethnicities,Earth Tones,Warm,Centralized Grouping,Group Portrait
Wikiart_889,Art Nouveau (Modern),,Woman With Cognac,Yellow,Bright,Central Figure,Advertisement
Wikiart_890,Naïve Art (Primitivism),,"Lion, Sleeping Person, Desert",Blue,Dark,Balanced,Fantasy
Wikiart_891,Neo-Impressionism,,"Boats, Sea, Lighthouse",Blue-Green,Bright,Horizontal Landscape,Seascape
Wikiart_892,,Woman in a dress,Woman in a dress,Sepia,Neutral,Central Composition,Portrait
Wikiart_893,Romanticism,,"Cross, People, Trees",Earth Tones,Neutral,Centralized With A Focus On The Cross And Surrounding People,Historical
Wikiart_894,realism,none,person with traditional attire,earth tones,neutral,traditional,portrait
Wikiart_895,Cubism,,Geometric Shapes,Earth Tones,Neutral,Cubist,Still Life
Wikiart_896,Realism,,"Windmill, Person",Green,Neutral,Balanced,Landscape
Wikiart_897,Magic Realism,,Nude Figure,Earth Tones,Dark,Central Figure,Portrait
Wikiart_898,Art Deco,,"Human Figures, Building",Purple,Dark,Overlapping And Geometric,Figurative
Wikiart_899,Post-Impressionism,,"Beach, Trees, Clouds, Water",Blue,Bright,"Horizontal, Balanced",Landscape
Wikiart_900,Romanticism,,"Trees, Person",Sepia,Neutral,Balanced,Landscape
Wikiart_901,Rococo,,"Horse, Dog",Earth Tones,Neutral,Central Composition,Animal
Wikiart_902,Expressionism,,"Mountains, Fields, Trees","Earth Tones (Browns, Greens)",Neutral,Asymmetrical,Landscape
Wikiart_903,Color Field Painting,,,Orange,Bright,Patterned,
Wikiart_904,Romanticism,,"People, Ceremonial Objects",Earth Tones,Neutral,Centralized,Historical
Wikiart_905,Abstract Art,,Geometric Forms,"Red, Black, Blue, Yellow",Neutral,Balanced Geometric Arrangement,Abstract
Wikiart_906,Pointillism,,"Man, Patterns",Yellow,Bright,Dynamic,Portrait
Wikiart_907,Romanticism,,"Couple, Ocean, Moon",Blue,Dreamlike,Central Focus With A Dynamic Flow,Mythological
Wikiart_908,Realism,,Standing Person,Earth Tones,Neutral,Central Focus,Portrait
Wikiart_909,Impressionism,,"River, Trees",Muted Earth Tones,Soft,Balanced,Landscape
Wikiart_910,Impressionism,,Woman Seated In Profile,Neutral Tones,Dark,Balanced With Focus On Figure,Portrait
Wikiart_911,Impressionism,,Two Women,Soft Pastels,Light,Balanced,Figurative
Wikiart_912,realism,,"tower, coastline","earth tones, blue",neutral,"horizontal, balanced",landscape
Wikiart_913,Ukiyo-e,,Two Figures In Traditional Dress,Muted Colors With Emphasis On Reds And Blues,Neutral,Balanced With A Focus On The Central Figures,Portrait
Wikiart_914,Art Brut,,"Cow, People",Brown,Neutral,Linear Arrangement,Genre Painting
Wikiart_915,Realism,,Seated Man,Monochrome,Neutral,Minimalist,Portrait
Wikiart_916,Ukiyo-e,,"Flower, Woven Basket",Earth Tones,Neutral,Minimalist,Still Life
Wikiart_917,Futurism,,"Bus Interior, Passengers",Green,Dark,"Dynamic, Diagonal Lines",Interior
Wikiart_918,Symbolism,,Mountains,Blue,Bright,Horizontal,Landscape
Wikiart_919,Romanticism,,Man With A Hat,Black And White,Neutral,Centralized Figure,Portrait
Wikiart_920,Impressionism,,"People, Park, Basket",Earth Tones,"Soft, Light",Dynamic With A Focal Point On Figures,Genre Painting
Wikiart_921,Naturalism,,Flowers In A Vase,Various (Predominantly Earthy Tones With Bright Floral Colors),Neutral,Centralized Composition,Still Life
Wikiart_922,Symbolism,,Woman In Ornate Clothing,Gold,"Soft, Muted","Decorative, Detailed",Portrait
Wikiart_923,Art Nouveau (Modern),,Human Figures,Blue,Dark,Asymmetrical,Figurative
Wikiart_924,,Woman Holding A Palm Frond,Woman,Earth Tones,Bright,"Vertical, Decorative",Portrait
Wikiart_925,Romanticism,,"Rainbow, Tree, Person",Green,Neutral,Horizontal,Landscape
Wikiart_926,Post-Impressionism,,"Trees, Field",Green,Bright,Dynamic,Landscape
Wikiart_927,Pictorialism,,"Train, Railway Tracks",Sepia,Dark,Central Focus With Leading Lines,Landscape
Wikiart_928,Realism,,"People, Picnic, Nature","Earth Tones, Yellow, Brown",Warm,"Balanced, Horizontal Layout",Genre Painting
Wikiart_929,Neo-Romanticism,,Seated Man,Dark Green,Dark,Centered,Portrait
Wikiart_930,realism,,"sailboats, water, trees",blues and greens,bright,balanced with a clear horizon line,landscape
Wikiart_931,Art Nouveau (Modern),,"People, Fire",Blue,Bright,Central Focus With Surrounding Figures,Genre Scene
Wikiart_932,Cubism,,Machine-Like Figure,White And Black,Neutral,Central Placement,Sculpture
Wikiart_933,Dada,,"Cherries, Geometric Shapes",Blue,Dark,Collage,Still Life
Wikiart_934,Abstract Art,,Reclining Figure,White,Neutral,Asymmetrical,Sculpture
Wikiart_935,Abstract Expressionism,,,"Black, White, Blue, Orange, Green",Bright,"Non-Representational, Dynamic",
Wikiart_936,Expressionism,,Human Torso,Brown,Neutral,Three-Dimensional Figure,Sculpture
Wikiart_937,naturalism,,hares,brown,neutral,central composition with two hares in the foreground,wildlife
Wikiart_938,Academicism,,Woman And Child,Earth Tones,Dark,"Vertical, Centralized",Portrait
Wikiart_939,Surrealism,,"Shell, Fruit, Mortar And Pestle",Dark Tones With Red And Purple Hues,Dark,Asymmetrical,Still Life
Wikiart_940,Art Nouveau (Modern),,"People, Ox, Corn Stalks",Earth Tones,Warm,"Dynamic, Diagonal",Genre Painting
Wikiart_941,Romanticism,,People In A Theater Box,Neutral,Dark,Balanced,Historical
Wikiart_942,Post-Impressionism,Religious,"Jesus On The Cross, People",Red,Dark,"Central, Vertical Emphasis",Religious
Wikiart_943,Symbolism,,"Woman, Window",Soft Pastels,Light,"Balanced, Focus On Figure",Portrait
Wikiart_944,Romanticism,,"Military Uniform, Person",Dark,Neutral,Full-Length Portrait,Portrait
Wikiart_945,Ukiyo-e,,Person In Costume,Dark Blue,Neutral,Asymmetrical,Portrait
Wikiart_946,Divisionism,,"Person, Buildings",Earth Tones,Neutral,Balanced,Portrait
Wikiart_947,impressionism,,"gondolas, water, buildings",blue,bright,dynamic,landscape
Wikiart_948,Neoclassicism,,Seated Person,Blue,Neutral,Centralized Composition,Portrait
Wikiart_949,Romanticism,,Horse Riders,Earth Tones,Neutral,"Balanced, With A Central Focus",Genre Painting
Wikiart_950,Romanticism,,"Trees, Hills, Buildings",Earth Tones,Warm,Balanced,Landscape
Wikiart_951,Fauvism,,"Trees, Ruins",Earth Tones,Neutral,Balanced,Landscape
Wikiart_952,Rococo,,"Sculptures, Painting Tools, Books",Earth Tones,Neutral,Balanced Arrangement,Still Life
Wikiart_953,Art Deco,,Two Embracing Figures,Monochrome,Neutral,Centralized And Symmetrical,Portrait
Wikiart_954,Symbolism,,"Ships, Sea","Dark Blue, Black",Dark,Asymmetrical,Landscape
Wikiart_955,,,"Two Figures, Ornate Architecture",Earth Tones,Warm,"Balanced, Centered",Genre Painting
Wikiart_956,Symbolism,,"Human Figure, Sphinx",Earth Tones,Dark,Vertical Emphasis,Figurative
Wikiart_957,Romanticism,,Gnomes,Earth Tones,Neutral,Centralized,Fantasy
Wikiart_958,Expressionism,Landscape,"Buildings, Trees",Blue,Dark,"Vertical Orientation, Dynamic Shapes",Landscape
Wikiart_959,Art Nouveau (Modern),,"Fans, Flowers, Vases","Earth Tones, Gold, Green",Neutral,Symmetrical,Still Life
Wikiart_960,,,Ice-Covered Statue,Monochrome (Black And White),Neutral,Centralized Composition,Sculpture
Wikiart_961,Post-Impressionism,,"Two Women, Couch, Dolls",Earth Tones,Neutral,"Central Focus On Subjects, Use Of Negative Space",Portrait
Wikiart_962,Romanticism,,,,,,
Wikiart_963,Romanticism,,"Seated Figure, Books",Yellow,Bright,Centralized Figure,Portrait
Wikiart_964,Post-Impressionism,,Human Figure,Beige,Neutral,Organic Form,Sculpture
Wikiart_965,Art Nouveau (Modern),,"Boats, Harbor, Buildings",Earth Tones,Bright,Geometric,Landscape
Wikiart_966,Analytical Cubism,,"Trees, Rocks","Earth Tones (Browns, Greens)",Neutral,"Geometric, Fragmented",Landscape
Wikiart_967,Romanticism,,"Soldiers, Weapons, Smoke",Red,Dark,"Dynamic, Chaotic",Historical
Wikiart_968,Surrealism,,"Trees, Forest","Dark Brown, Blue",Dark,"Vertical, Centralized",Landscape
Wikiart_969,Impressionism,,"Trees, Flowers, Path",Green,Neutral,Balanced,Landscape
Wikiart_970,Precisionism,,"Buildings, Industrial Structures",Red,Neutral,Geometric,Still Life
Wikiart_971,Academicism,,"Musical Instrument (Veena), Peacock","Earth Tones, With Reds And Whites",Bright,Centralized Figure With Background Elements,Portrait
Wikiart_972,metaphysical art,,,,,,
Wikiart_973,Romanticism,,Floral Motifs,Green,Neutral,Symmetrical,Pattern
Wikiart_974,Expressionism,,"People, Farm Tools, Horse",Earth Tones,Bright,Dynamic,Genre Painting
Wikiart_975,Realism,,"Bridge, Buildings, Hot Air Balloons, River",Neutral Grayscale,Neutral,Horizontal Emphasis,Landscape
Wikiart_976,Romanticism,,"Woman In Water, Flowers",Green,Dark,Balanced,Portrait
Wikiart_977,Cubism,,Geometric Forms,Dark Tones With Accents Of Red And Green,Dark,"Asymmetrical, Geometric Arrangement",Abstract
Wikiart_978,realism,,people,earth tones,neutral,group arrangement,genre painting
Wikiart_979,impressionism,women in a garden,"women, garden",green,bright,balanced grouping,genre painting
Wikiart_980,Art Deco,,Seated Woman With A Fan,Warm Tones,Soft,Centered Figure,Nude
Wikiart_981,,Nude Figures,Nude Figures,Neutral Tones,Soft,Asymmetrical,Portrait
Wikiart_982,Romanticism,,"People, Dog, Trees",Earth Tones,Bright,Balanced,Portrait
Wikiart_983,Spatialism,,Slashes On Canvas,White,Neutral,Minimalist,Abstract
Wikiart_984,Fauvism,,"Person, Glass Of Drink","Dark, With Prominent Use Of Red And White",Dark,Centralized Composition,Portrait
Wikiart_985,Precisionism,,Cow,Blue,Bright,"Dynamic, Asymmetrical",Animal
Wikiart_986,Post-Impressionism,,Buildings,Earth Tones,Dark,Dynamic,Cityscape
Wikiart_987,Expressionism,,People,Earth Tones,Dark,Dynamic,Figurative
Wikiart_988,realism,,"two people, trees, path, building",earth tones,neutral,"balanced, with figures placed in the foreground and background",religious
Wikiart_989,impressionism,,"trees, water, sailboat",earth tones,neutral,balanced,landscape
Wikiart_990,Art Nouveau (Modern),,"Snow, Mountains, Road",Light Blue,Bright,Curved Lines Leading To Background Mountains,Landscape
Wikiart_991,Modernismo,,"Trees, Buildings",Earth Tones,Warm,Balanced,Landscape
Wikiart_992,realism,,two children,dark blue tones,neutral,centralized,portrait
Wikiart_993,Romanticism,,Person,Earthy Tones,Warm,Balanced,Portrait
Wikiart_994,Documentary photography,,Man Pulling A Cart,Sepia,Neutral,Central Focus With Depth,Street Photography
Wikiart_995,Expressionism,,"Houses, Trees, Pathway",Green,Bright,Balanced,Landscape
Wikiart_996,Expressionism,,"Person, Text, Abstract Shapes",Predominantly Light Blue And White,Neutral,Central Figure With Abstract Background,Portrait
Wikiart_997,Neoclassicism,,Scientific Instruments,Dark,Neutral,Balanced,Portrait
Wikiart_998,Surrealism,,"Masks, Sculptures",Black And White,Neutral,Balanced,Still Life
Wikiart_999,Pictorialism,,Human Figure,Warm Tones,Soft,Balanced,Portrait
Wikiart_1000,Surrealism,,Bishop With Staff,Earth Tones,Dark,Central Figure,Portrait
Wikiart_1001,street art,,"graffiti characters, text",blue,bright,dynamic and layered,graffiti
Wikiart_1002,street art,,"train, graffiti text",green,neutral,asymmetrical,urban
