ID,name,nationality,art_movement,birth_date,death_date,age,century,zodiac,birth_country,birth_city,birth_continent,death_country,death_city,field,genre,marriage,art_institution,teaching,awards
772,Francisco Oller,Puerto Rico,Impressionism,1833/6/17,1917/5/17,83,19th-20th,Gemini,Puerto Rico,Puerto Rico,North America,Puerto Rico,San Juan,Painting||Visual,Landscape||Portrait||Still Life,Unmarried,Royal Academy of San Fernando,1,0
773,Asher Brown Durand,United States,Hudson River School,1796/8/21,1886/9/17,90,,Leo,United States,Maplewood,North America,United States,Maplewood,Painting||Printmaking,Landscape,Unmarried,Urban Genre Scenes,0,0
774,John French Sloan,United States,Ashcan School,1871/8/2,1951/9/7,80,19th-20th,Leo,United States,Lock Haven,North America,United States,Hanover,Painting||Printmaking,Landscape,Unmarried,Landscape,0,0
775,Karl Schmidt-Rottluff,Germany,Expressionism,1884/12/1,1905/5/29,20,19th-20th,Sagittarius,Germany,Rottluff,Europe,Germany,Berlin,Painting||Printmaking,,Married,Expressionism,1,0
776,Ralph Hedley,British,Realism,1848/12/31,1913/6/14,64,19th-20th,,United Kingdom,Richmond Upon Thames,Europe,United Kingdom,,Illustration||Painting||Sculpture,Narrative,Unmarried,'Government school' in Newcastle,0,1
777,Juan Gris,Spanish,Cubism,1887/3/23,1927/5/11,,,,Spain,Madrid,Europe,France,Paris,Painting||Sculpture,Abstract,Unmarried,Cubism,0,0
778,Jean Désiré Gustave Courbet,Gustave Courbet,Realism,1819/6/10,1877/12/31,58,19th,Gemini,France,Orans,Europe,Switzerland,,Painting,Landscape||Narrative||Nude||Still Life,Unmarried,Realism,0,0
779,Adolphe Joseph Thomas Monticelli,French,Romanticism,1824/10/14,1886/6/29,61,19th,Libra,France,Marseille,Europe,France,,Painting,Landscape||Portrait||Still Life,Unmarried,école des Beaux-Arts.,0,0
780,Alfred Concanen,British,Pre-Raphaelite,1905/1/8,1886/12/10,-19,20th,,United Kingdom,Nottingham,Europe,United Kingdom,Marylebone,Printmaking,Portrait,Unmarried,Illustration,0,0
781,Paul Nash,United Kingdom,Modernism||Surrealism,1889/5/11,1946/7/11,57,19th-20th,Taurus,United Kingdom,London,Europe,United Kingdom,Boscombe,Graphic Design||Literature||Painting||Photography,Landscape||Surrealist,Unmarried,"UCL Slade School of Fine Art (University College London), London, UK",0,0
782,John Heartfield,German,Dada,1891/6/19,1968/4/26,76,19th-20th,Gemini,Germany,Berlin,Europe,Germany,Berlin,Performance||Photography||Visual,Illustration||Political,Married,Royal Bavarian Arts and Crafts School,0,1
783,Marià Fortuny,Spanish,Romantic,1838/6/11,1874/11/21,36,19th,Gemini,Spain,Reus,Europe,Italy,Rome,Painting,Cultural and Regional Themes||History||War,Married,Academy of Barcelona (La Llotja school of art),0,0
784,Yasuo Kuniyoshi,Japanese-American,Cubism,1893/9/1,1953/5/14,59,19th-20th,Virgo,Japan,Okayama,Asia,United States,New York,Painting||Photography||Printmaking,Figurative||Still Life,Remarried,Art Students League of New York,1,1
785,Martín Rico y Ortega,Spanish,Realism||Romanticism,1833/12/11,1908/4/13,74,19th-20th,Sagittarius,Spain,Madrid,Europe,France,Venice,Painting,Landscape,Unmarried,Real Academia de Bellas Artes de San Fernando,1,1
786,Charles-édouard Jeanneret,Swiss-French,Modern architecture||Urban planning,1887/10/6,1965/8/27,77,19th-20th,Libra,Switzerland,La Chaux-de-Fonds,Europe,France,Roquebrune-Cap-Martin,Architecture||Graphic Design||Literature||Painting,,Married,Pioneering Modernist Architecture,0,0
787,Anne-Louis Girodet,French,Romanticism,1767/1/29,1824/12/9,57,,Aquarius,France,Montargis,Europe,France,Paris,Painting,Erotic||Portrait,Unmarried,Académie des Beaux-Arts,1,2
788,Alexander Porfyrovych Archipenko,Ukrainian,Avant-garde||Cubism,1887/5/30,1964/2/25,76,19th-20th,Gemini,Ukraine,Kyiv,Europe,United States,New York,Graphic Design||Sculpture,,Married,Académie de la Palette,1,0
789,Thomas Jones,Welsh,Landscape,1742/9/26,1803/4/29,60,,Libra,United Kingdom,Trefonnen,Europe,United Kingdom,Pencerrig,Painting,Landscape,Married,Royal Academy of Arts,0,0
790,Paul Revere,American,,1735/1/1,1818/5/10,83,,,United States,Boston,North America,United States,Boston,Printmaking||Professional,,Married,Self-taught; prominent figure in the Sons of Liberty,0,0
791,Kuzma Sergeevich Petrov-Vodkin,Russian,,1878/10/24,1939/2/15,60,19th-20th,Scorpio,Russia,Khvalynsk,Europe,Russia,Leningrad,Literature||Painting,,Married,St. Petersburg Academy of Arts,1,0
792,Lawren Stewart Harris,Canadian,Group of Seven,1885/10/23,1970/1/29,84,19th-20th,Scorpio,Canada,Brantford,North America,Canada,Vancouver,Painting,Abstract||Landscape,Married,Group of Seven,1,0
793,Thomas Sully,American,,1783/6/19,1872/11/5,89,,Gemini,United Kingdom,Horncastle,Europe,United States,Philadelphia,Painting,History||Landscape||Portrait,Married,"Academy of Fine Arts, Philadelphia",1,0
794,János Mattis-Teutsch,Hungarian,Art nouveau||Der Blaue Reiter||Die Brücke||Expressionist||Post-Impressionist||avant-garde||modern art,1884/8/13,1960/3/17,75,19th-20th,Leo,Hungary,Bra?ov,Europe,Romania,Bra?ov,Graphic Design||Painting||Sculpture,,Unmarried,Associated with Hungarian avant-garde movements,1,0
795,Wilhelm Kotarbiński,Polish,Symbolism,1849/11/30,1921/4/9,71,19th-20th,Sagittarius,Poland,Nieborów,Europe,Ukraine,Kiev,Painting,Fantasy||History,Unmarried,Warsaw School of Art,0,0
796,Martin Munkácsi,Hungarian,,1896/5/18,1963/7/13,67,19th-20th,Taurus,Hungary,Kolozsvár,Europe,United States,New York City,Literature||Photography,Other||Portrait,Unmarried,,0,0
797,Gino Severini,Italian,Divisionism||Futurism,1883/4/7,1966/2/26,82,19th-20th,Aries,Italy,Cortona,Europe,France,Paris,Painting,,Unmarried,Italian Futurist School,0,0
798,Sir Thomas Lawrence,British,Romanticism,1769/4/13,1830/1/7,60,,Aries,United Kingdom,Bristol,Europe,United Kingdom,London,Painting,Portrait,Unmarried,Royal Academy of Arts,0,0
799,Pavel Nikolayevich Filonov,Russian,Analytical Realism,1883/1/8,1941/3/12,58,19th-20th,,Russia,Moscow,Europe,Russia,Leningrad,Literature||Painting||Theory,Avant Garde Experimental||Conceptual,Unmarried,Imperial Academy of Arts,1,0
800,Amédée Ozenfant,French,Cubism||Purism,1986/4/15,1966/5/4,-20,20th,Aries,France,Saint-Quentin,Europe,France,Paris,Literature||Painting,,Unmarried,Académie de La Palette,1,0
801,William Blake,British,Pre-Romantic||Romantic,1757/11/28,1827/8/12,69,,Sagittarius,United Kingdom,London,Europe,United Kingdom,London,Literature||Painting||Printmaking,,Married,Royal Academy of Arts,0,0
802,Shinsui Itō,Japanese,Shin-hanga,1898/2/4,1972/5/8,74,19th-20th,Aquarius,Japan,Tokyo,Asia,Japan,Tokyo,Painting||Printmaking,Illustration||Landscape,Unmarried,"Self-taught, associated with Watanabe Print Shop",0,0
803,Carl Clemens Moritz Rungius,German-American,,1869/8/18,1959/10/21,90,19th-20th,Leo,Germany,"Rixdorf, Berlin",Europe,United States,New York,Painting,Animal,Married,Berlin Art Academy,1,0
804,Arkhip Ivanovich Kuindzhi,Russian,Realism,1842/1/27,1910/7/24,68,19th-20th,Aquarius,Russia,Mariupol,Europe,Russia,Saint Petersburg,Painting,Landscape,Married,Imperial Academy of Arts,1,0
805,Dame Laura Knight,British,English Impressionism,1877/8/4,1970/7/7,92,19th-20th,Leo,United Kingdom,Long Eaton,Europe,United Kingdom,London,Painting||Printmaking,Figurative||Other,Married,Nottingham School of Art,1,0
806,Philip Wilson Steer,British,Impressionism,1860/12/28,1942/3/21,81,19th-20th,,United Kingdom,Birkenhead,Europe,United Kingdom,London,Painting,Landscape||Portrait,Unmarried,Slade School of Fine Art,0,0
807,Auguste Herbin,French,Abstract Art||Cubism,1882/4/29,1960/1/31,77,19th-20th,Taurus,France,Quiévy,Europe,France,Paris,Painting,Figurative,Unmarried,Académie Julian,0,0
808,John Ruskin,British,Pre-Raphaelitism,1819/2/8,1900/1/20,80,19th-20th,Aquarius,United Kingdom,London,Europe,United Kingdom,Brantwood,Literature||Painting||Social||Theory,Architecture||Environmental||Landscape,Married,No specific art institution; influential critic and thinker,1,0
809,Cuno Amiet,Swiss,Expressionism||Pont-Aven School,1868/3/28,1961/7/6,93,19th-20th,Aries,Switzerland,Solothurn,Europe,Switzerland,Oschwand,Graphic Design||Illustration||Painting||Sculpture,Landscape||Portrait,Married,Associated with école des Beaux-Arts,1,1
810,Ivan Yakovlevich Bilibin,Russian,Art Nouveau||Mir iskusstva,1876/8/16,1942/2/7,65,19th-20th,Leo,Russia,Saint Petersburg,Europe,Russia,Leningrad,Illustration||Performance,Cultural and Regional Themes||Fantasy,Married,Imperial Academy of Arts,1,0
811,Honoré-Victorin Daumier,French,,1808/2/26,1879/2/10,70,19th,Pisces,France,Marseille,Europe,France,Valmondois,Graphic Design||Painting||Printmaking||Sculpture,Political||Social Realism,Married,Académie Suisse,0,0
812,Anna Katarina Boberg,Swedish,,1864/12/3,1935/1/27,70,19th-20th,Sagittarius,Sweden,Stockholm,Europe,Sweden,Stockholm,Ceramics||Graphic Design||Literature||Painting||Textile Art,Landscape,Married,Swedish Academy of Arts,0,0
813,Augusta Savage,American,Harlem Renaissance,1892/2/29,1962/3/27,70,19th-20th,Pisces,United States,Green Cove Springs,North America,United States,New York City,Sculpture,,Married,"Cooper Union, Harlem Community Arts Center",1,3
814,Ernst Ludwig Kirchner,German,Expressionism,1880/5/6,1938/6/15,58,19th-20th,Taurus,Germany,Aschaffenburg,Europe,Switzerland,Davos,Painting||Printmaking,,Unmarried,Die Brücke (The Bridge) group,0,0
815,James Ward,British,Romanticism,1769/10/23,1859/11/17,90,,Scorpio,United Kingdom,London,Europe,United Kingdom,Cheshunt,Painting||Printmaking,Animal||Landscape||Portrait,Married,Royal Academy of Arts,0,0
816,Jean-Jules-Antoine Lecomte du Nou?,French,Orientalism,1842/6/10,1923/2/19,80,19th-20th,Gemini,France,Paris,Europe,France,Monaco,Painting||Sculpture,Architecture||Figurative||History||Religious,Unmarried,école des Beaux-Arts,0,1
817,Maurits Cornelis Escher,Dutch,,1898/6/17,1972/3/27,73,19th-20th,Gemini,Netherlands,Leeuwarden,Europe,Netherlands,Laren,Graphic Design,,Married,Haarlem School of Architecture and Decorative Arts,0,0
818,John Leech,British,,1817/8/29,1864/10/29,47,19th,Virgo,United Kingdom,London,Europe,United Kingdom,London,Graphic Design||Illustration,Political||Social Realism,Married,Self-taught with formal education at Charterhouse School,0,0
819,Andrei Petrovich Ryabushkin,Russian,Peredvizhniki,186110/17,1904/5/10,,,,Russia,Stanichnaya Sloboda,Europe,Russia,Lubvino,Painting,Narrative,Unmarried,"Moscow School of Painting, Sculpture and Architecture",0,1
820,Franti?ek Kupka,Czech,Abstract Art||Orphism,1871/9/23,1957/6/24,85,19th-20th,Libra,Czech Republic,Opo?no,Europe,France,Puteaux,Graphic Design||Painting,Abstract,Unmarried,"Academy of Fine Arts, Prague",0,0
821,Armandro Reverón,Venezuelan,Arte Povera,1889/5/10,1954/9/18,65,19th-20th,Taurus,Venezuela,Caracas,South America,Venezuela,Macuto,Painting||Sculpture,Figurative||Landscape,Unmarried,"Academia de Bellas Artes, Caracas",0,0
822,Allan Randall Freelon Sr.,American,Impressionism,1895/9/2,1960/8/6,64,19th-20th,Virgo,United States,Philadelphia,North America,United States,Philadelphia,Painting,Portrait,Married,"University of Pennsylvania, Pennsylvania Academy of the Fine Arts",1,0
823,Albrecht Samuel Anker,Swiss,Realism,1831/4/1,1910/7/16,79,19th-20th,Aries,Switzerland,Ins,Europe,Switzerland,Ins,Illustration||Painting,Illustration||Portrait||Still Life,Married,"Academy of Fine Arts, Paris",0,0
824,Eugène Fredrik Jansson,Swedish,,1862/3/18,1915/6/15,53,19th-20th,Pisces,Sweden,Stockholm,Europe,Sweden,Stockholm,Painting,Landscape,Unmarried,Royal Swedish Academy of Fine Arts,0,0
825,Gaspard-Félix Tournachon,French,,1820/4/6,1910/3/20,89,19th-20th,Aries,France,Paris,Europe,France,Paris,Graphic Design||Literature||Others||Photography,Film||Portrait,Unmarried,,0,0
826,Mohammad Ghaffari,Iranian,,1905/1/20,1905/4/23,0,20th,Aquarius,Iran,Kashan,Asia,Iran,Nishapur,Calligraphy||Painting,Landscape||Portrait,Unmarried,Dar ul-Funun,1,0
827,Percy Wyndham Lewis,British,Vorticism,1882/11/18,1957/3/7,74,19th-20th,Scorpio,Canada,Nova Scotia,North America,United Kingdom,London,Literature||Painting||Theory,,Married,,0,0
828,Robert William Buss,British,Victorian,1804/8/4,1875/2/26,70,19th,Leo,United Kingdom,London,Europe,United Kingdom,London,Illustration||Painting||Printmaking,History||Narrative||Portrait,Married,,0,0
829,Ivan Me?trovi?,Croatian,Secession,1883/8/15,1962/1/16,78,19th-20th,Leo,Croatia,Vrpolje,Europe,United States,Indiana,Architecture||Literature||Sculpture,Portrait||Sculpture,Married,,0,1
830,George Inness,American,Tonalism,1825/5/1,1894/8/3,69,19th,Taurus,United States,New York,North America,United Kingdom,Scotland,Painting,Landscape,,"National Academy Museum and School (National Academy of Design), New York City, NY, US",0,0
831,Edward Lear,British,,1812/3/12,1888/1/29,75,19th,Pisces,United Kingdom,England,Europe,Italy,Sanremo,Drawing||Illustration||Literature||Music||Painting,Illustration||Landscape||Other,,,0,0
832,Vincenzo Camuccini,Italian,Neoclassicism,1771/2/22,1844/9/2,73,,Pisces,Italy,Rome,Europe,Italy,Papal States,Painting,History||Portrait||Religious,,,0,0
833,Joaquín Sorolla y Bastida,Spanish,Modern Spanish school,1863/2/27,1923/8/10,60,19th-20th,Pisces,Spain,Valencia,Europe,Spain,Cercedilla,Painting,History||Landscape||Portrait||Social Realism,,,0,0
834,Thomas Cowperthwait Eakins,American,Realism,1844/7/25,1916/6/25,71,19th-20th,Leo,United States,Philadelphia,North America,United States,Philadelphia,Education||Painting||Photography||Sculpture,Film||Portrait,,,1,1
835,Fyodor Alexandrovich Vasilyev,Russian,Lyrical Landscape||Peredvizhniki,1850/2/10,1873/9/24,23,19th,Aquarius,Russia,Gatchina,Europe,Ukraine,Yalta,Painting,Landscape,,,0,0
836,Alexej Georgewitsch von Jawlensky,"Russian, German",Der Blaue Reiter||Die Blaue Vier||Expressionism,1864/3/13,1941/3/15,77,19th-20th,Pisces,Russia,Torzhok,Europe,Germany,Weisbaden,Painting,Abstract||Landscape||Portrait,Married,,0,0
837,Lyubov Sergeyevna Popova,Russian,Constructivism||Cubism||Cubo-Futurism||Suprematism,1889/4/24,1924/5/25,35,19th-20th,Taurus,Russia,Ivanovskoe,Europe,Russia,Moscow,Graphic Design||Painting,Abstract,,"Académie de La Palette, Paris, France",0,0
838,Jean-Honoré Fragonard,French,Rococo,1732/4/5,1806/8/22,74,,Aries,France,Grasse,Europe,France,Paris,Painting||Printmaking,Avant Garde Experimental||Erotic||Genre,Married,"école des Beaux-Arts, Paris, France",0,1
839,Sir Samuel Luke Fildes,British,Social Realism,1843/10/3,1927/2/28,83,19th-20th,Libra,United Kingdom,Liverpool,Europe,United Kingdom,London,Illustration||Painting,Social Realism,,"Royal Academy of Arts (RA), London, UK",0,0
840,Sophie Henriette Gertrude Taeuber-Arp,"Swiss, French",Concrete art||Dada||Geometric abstraction,1889/1/19,1943/1/13,53,19th-20th,,Switzerland,Davos,Europe,Switzerland,Zurich,Architecture||Painting||Performance||Sculpture||Textile Art,Abstract||Conceptual,Married,,0,0
841,Raden Saleh Sjarif Boestaman,Indonesian,Romanticism,1904/12/15,1880/4/23,-25,20th,Sagittarius,Indonesia,Semarang,Asia,Indonesia,Bogor,Painting,Landscape||Portrait,,,0,0
842,Félix Edouard Vallotton,"Swiss, French",Les Nabis||Post-Impressionism||Symbolism,1865/12/28,1925/12/29,60,19th-20th,,Switzerland,Lausanne,Europe,France,Paris,Painting||Printmaking,Genre||Nude||Portrait,,"Académie Julian, Paris, France",1,0
843,Léopold Frédéric Léopoldowitsch Survage,"French, Russian, Finnish",Cubism||Neo-classical||Russian avant-garde,1829/7/31,1968/10/31,139,19th-20th,Leo,Finland,Vilmanstrand,Europe,France,Paris,Decorative||Painting||Performance||Textile Art,Abstract||Other,,,0,0
844,Anni Albers,"American, German, Jewish",Bauhaus,1899/6/12,1994/5/9,94,19th-20th,Gemini,Germany,Berlin,Europe,United States,Connecticut,Printmaking||Textile Art,,Married,,0,0
845,Akseli Gallen-Kallela,Finnish,Expressionism||Symbolism,1865/4/26,1931/3/7,65,19th-20th,Taurus,Finland,Pori,Europe,Sweden,Stockholm,Painting,History||Landscape,,,0,0
846,Séraphine Louis,French,Na?ve,1864/9/3,1942/12/11,78,19th-20th,Virgo,France,Arsy (Oise),Europe,France,Villers-sous-Erquery (Oise),Painting,Nature and Botanical,,,0,0
847,Christen Schiellerup K?bke,Danish,Golden Age of Danish Painting,1810/5/26,1848/2/7,37,19th,Gemini,Denmark,Copenhagen,Europe,Denmark,Copenhagen,Painting,Landscape||Portrait,,,0,0
848,Wilhelm von Kaulbach,German,Düsseldorf school of painting,1805/10/15,1874/4/7,68,19th,Libra,Germany,Waldeck,Europe,Germany,Munich,Illustration||Others||Painting,Allegorical||Symbolic,,"Akademie der Bildenden Künste München (Munich Academy), Munich, Germany",0,0
849,Gustave Moreau,French,Symbolism,1826/4/6,1898/4/18,72,19th,Aries,France,Paris,Europe,France,Paris,Painting,Mythological||Religious,,"école des Beaux-Arts, Paris, France",0,0
850,édouard Manet,French,Impressionism||Realism,1832/1/23,1883/4/30,51,19th,Aquarius,France,Paris,Europe,France,Paris,Painting,Contemporary||Other,Married,,0,0
851,Jacek Malczewski,Polish,Symbolism||Young Poland,1854/7/15,1929/10/8,75,19th-20th,Cancer,Poland,Radom,Europe,Poland,Krakow,Painting,Symbolic,Married,,0,0
852,Jean-Louis Ernest Meissonier,French,Classicism,1815/2/21,1891/1/31,75,19th,Pisces,France,Lyon,Europe,France,Paris,Painting||Sculpture,History||War,Married,,0,0
853,Frederick Sandys,British,Norwich School||Pre-Raphaelite,1829/5/1,1904/6/25,75,19th-20th,Taurus,United Kingdom,Norwich,Europe,United Kingdom,London,Drawing||Illustration||Painting,Mythological||Portrait,,,1,0
854,Thomas Pollock Anshutz,American,Naturalism,1851/10/5,1912/6/16,60,19th-20th,Libra,United States,Kentucky,North America,United States,Philadelphia,Education||Painting,Portrait,,"Pennsylvania Academy of the Fine Arts, Philadelphia, PA, US",1,3
855,Philip Alexius de László,"Jewish, Hungarian",,1869/4/30,1937/11/22,68,19th-20th,Taurus,Hungary,Budapest,Europe,United Kingdom,London,Painting,Portrait,Married,,0,2
856,Jan Alojzy Matejko,Polish,Historical Painting,1838/6/24,1893/11/1,55,19th,Cancer,Poland,Krakow,Europe,Poland,Krakow,Painting,History,Married,,0,3
857,Rufino del Carmen Arellanes Tamayo,Mexican,Figurative abstraction||Surrealism,1899/8/26,1991/6/24,91,19th-20th,Virgo,Mexico,Oaxaca de Juarez,North America,Mexico,Mexico City,Painting,Abstract,Married,,0,0
858,Aubrey Vincent Beardsley,British,Aestheticism||Art Nouveau,1872/8/21,1898/3/16,25,19th,Leo,United Kingdom,Brighton,Europe,France,Menton,Illustration||Literature,Erotic||Fantasy||Other,,,0,0
859,Dorothea Lange,American,Documentary Photography,1895/5/26,1965/10/11,70,19th-20th,Gemini,United States,New Jersey,North America,California,San Francisco,Photography,Narrative,Married,,0,1
860,Willard Leroy Metcalf,American,American Impressionism,1858/7/1,1925/3/9,66,19th-20th,Cancer,United States,Massachusetts,North America,United States,New York,Illustration||Painting,Landscape||Portrait,,"Art Students League of New York, New York City, NY, US",0,1
861,Camille Claudel,French,,1864/12/8,1943/10/19,78,19th-20th,Sagittarius,France,,Europe,France,,Sculpture,,,"Académie Colarossi, Paris, France",0,0
862,Hiroshi Yoshida,Japanese,Shin-hanga,1876/9/16,1950/4/5,73,19th-20th,Virgo,Japan,Kyushu,Asia,Japan,,Painting||Printmaking,Landscape,,,0,0
863,Itō Jakuchū,Japanese,Edo period,1716/3/2,1800/10/27,84,,Pisces,Japan,,Asia,Japan,Kyoto,Painting,Animal||Cultural and Regional Themes,,,0,0
864,Stanis?aw Ignacy Witkiewicz,Polish,Formism,1885/2/24,1939/8/18,54,19th-20th,Pisces,Poland,Warsaw,Europe,Poland,Jeziora,Literature||Painting||Performance||Photography||Theory,Fantasy||Portrait,Married,"Jan Matejko Academy of Fine Arts, Krakow, Poland",0,0
865,Arno Breker,German,Neoclassicism,1900/7/19,1991/2/13,90,20th,Cancer,Germany,"Elberfeld, now a part of Wuppertal",Europe,Germany,Düsseldorf,Architecture||Sculpture,,Married,,0,0
866,Constantin Daniel Rosenthal,"Jewish, Austrian, Romanian",Romantic,1904/12/24,1851/7/22,-54,20th,,Hungary,Pest,Europe,Hungary,Pest,Painting||Sculpture,Portrait,,,0,0
867,Thomas Fearnley,,Romantic Nationalism||Romanticism,1802/12/27,1842/1/16,39,19th,,Norway,,Europe,,,Painting,Landscape,,,0,0
868,Ion Theodorescu-Sion,Romanian,Cubism||Divisionism||Fauvism||Impressionism||Neo-traditionalist||Post-Impressionism||Realism||Symbolism||Synthetism,1882/1/2,1929/3/31,47,19th-20th,,Romania,Br?ila,Europe,Romania,Bucharest,Drawing||Graphic Design||Painting,Cultural and Regional Themes||Religious,,,0,3
869,Jean Dominique Antony Metzinger,French,Crystal Cubism||Cubism||Divisionism||Fauvism||Neo-impressionism,1883/6/24,1956/11/3,73,19th-20th,Cancer,France,Nantes,Europe,France,Paris,Literature||Painting||Theory,,,"Académie de La Palette, Paris, France",0,0
870,James Barry,Irish,Neoclassical||Romanticism,1741/10/11,1806/2/22,64,,Libra,Ireland,Cork,Europe,United Kingdom,London,Painting,,,"Royal Academy of Arts (RA), London, UK",0,0
871,Henri Marie Raymond de Toulouse-Lautrec-Monfa,French,Post-Impressionism,1864/11/24,1901/9/9,36,19th-20th,Sagittarius,France,Tarn,Europe,France,Chateau Malromé,Drawing||Graphic Design||Illustration||Painting||Printmaking,,,,1,0
872,Emanuel Gottlieb Leutze,"German, American",Düsseldorf school of painting,1816/5/24,1868/7/18,52,19th,Gemini,Germany,Schw?bisch Gmünd,Europe,United States,"Washington, D.C.",Painting,History,,,0,0
873,Charles Angrand,French,Neo-Impressionism,1854/4/19,1926/4/1,71,19th-20th,Aries,France,Normandy,Europe,France,Rouen,Drawing||Painting,Narrative||Portrait,,,0,0
874,Anton A?be,Slovenian,Realism,1862/5/30,1905/8/5,43,19th-20th,Gemini,Slovenia,Dolen?ice,Europe,,,Painting,,,,0,0
875,Xavier Martínez,"American, Mexican",Tonalism,1869/2/7,1943/1/13,73,19th-20th,Aquarius,Mexico,Jalisco,North America,United States,California,Drawing||Painting||Printmaking,,,"école des Beaux-Arts, Paris, France",0,0
876,Giacomo Quarenghi,"Italian, Russian",Neoclassicism,1744/10/20,1817/3/2,72,,Libra,Italy,Bergamo,Europe,Russia,Saint Petersburg,Architecture||Painting,,,,0,0
877,Sophie Gengembre Anderson,"French, British",,1904/12/27,1903/3/10,-2,20th,,France,Paris,Europe,United Kingdom,Falmouth,Painting||Printmaking,Genre,Married,,1,0
878,David Roberts,British,Orientalism,1796/10/24,1864/11/25,68,,Scorpio,United Kingdom,Edinburgh,Europe,United Kingdom,London,Painting,,,,0,0
879,Joseph Urbania,"Austrian, Slovenian",Neo-baroque||Neo-classical,1877/2/16,1943/6/10,66,19th-20th,Aquarius,Slovenia,Ljubljana,Europe,Austria,Wien,Painting||Sculpture,History||Mythological||Narrative||Other||Religious,,"Akademie der Bildenden Künste Wien, Vienna, Austria",0,0
880,Sir David Wilkie,British,,1785/11/18,1841/6/1,55,,Scorpio,United Kingdom,Fife,Europe,Gibraltar,Gibraltar,Painting,Genre||History||Portrait,,,0,0
881,Paul Jacoulet,"French, Japanese",,1905/3/10,1905/5/13,0,20th,Pisces,France,Paris,Europe,Japan,,Printmaking,Figurative||Portrait,,,0,0
882,Augustus Edwin Mulready,British,Genre,1844/2/23,1904/3/15,60,19th-20th,Pisces,United Kingdom,London,Europe,United Kingdom,London,Painting,Genre,,"Royal Academy of Arts (RA), London, UK",0,0
883,Grace W. Pailthorpe,British,Surrealism,1883/7/29,1971/7/19,87,19th-20th,Leo,United Kingdom,Sussex,Europe,England,Sussex,Painting||Professional||Science,Surrealist,Married,,0,0
884,Oscar Agustín Alejandro Schulz Solari,Argentinean,Avant-garde||Futurism,1887/12/14,1963/4/9,75,19th-20th,Sagittarius,Argentina,San Fernando,South America,Argentina,Tigre,Literature||Painting||Sculpture,,,,0,0
885,Francis Hans Johnston,Canadian,Group of Seven,1888/6/19,1949/7/19,61,19th-20th,Gemini,Canada,Toronto,North America,Canada,Toronto,Painting,Landscape,,,0,0
886,Winston Leonard Spencer-Churchill,British,,1874/11/30,1965/1/24,90,19th-20th,Sagittarius,United Kingdom,Woodstock,Europe,United Kingdom,Hyde Park Gate,Literature,,,,0,0
887,Gabriel Charles Dante Rossetti,British,Aestheticism||Pre-Raphaelite Brotherhood,1828/5/12,1882/4/12,53,19th,Taurus,United Kingdom,London,Europe,United Kingdom,Birchington-on-Sea,Illustration||Literature||Painting||Translation,Cultural and Regional Themes||Literature,Married,,0,0
888,"Théophile ""Théo"" van Rysselberghe",Belgian,Neo-Impressionism,1862/11/23,1926/12/14,64,19th-20th,Sagittarius,Belgian,Ghent,Europe,France,Saint-Clair,Painting,Portrait,,,0,0
889,Norman Percevel Rockwell,American,,1894/2/3,1978/11/8,84,19th-20th,Aquarius,United States,New York,North America,United States,Massachusetts,Illustration||Literature||Painting,Cultural and Regional Themes||Narrative||Portrait,Married,"Art Students League of New York, New York City, NY, US, Parsons School of Design (Chase School, New York School of Art)||New York City||NY, US",0,1
890,Leonetto Cappiello,Italian||French,,1875/4/9,1942/2/2,66,19th-20th,Aries,Italy,Livorno,Europe,France,Cannes,Graphic Design||Painting,,,,0,1
891,Henri Julien Félix Rousseau,French,Na?ve Art||Post-Impressionism,1844/5/21,1910/9/2,66,19th-20th,Gemini,France,Laval,Europe,France,Paris,Painting,,,Self-taught,0,0
892,Maximilien Luce,French,Impressionism||Neo-impressionism||Pointillism,1858/3/13,1941/2/6,82,19th-20th,Pisces,France,,Europe,France,,Graphic Design||Illustration||Painting||Printmaking,Landscape,,,0,0
893,Robert Demachy,French,Pictorialism,1859/7/7,1936/12/29,77,19th-20th,Cancer,France,Paris,Europe,France,Normandy,Photography,,Married,,0,0
894,Victor Meirelles de Lima,Brazilian,,1832/8/18,1903/2/20,70,19th-20th,Leo,Brazil,Nossa Senhora do Desterro,South America,Brazil,Rio de Janeiro,Painting,,,Accademia di San Luca,1,1
895,George Catlin,American,,1796/7/26,1872/12/23,76,,Leo,United States,Pennsylvania,North America,United States,New Jersey,Painting||Social,Portrait,,,0,1
896,Albert Gleizes,French,Cubism,1881/12/8,1953/6/23,71,19th-20th,Sagittarius,France,Paris,Europe,France,Avignon,Painting,Landscape,,Self-taught,0,1
897,Jan Hendrik Weissenbruch,Dutch,Dutch Romanticism||Hague School,1824/6/19,1903/3/24,78,19th-20th,Gemini,Netherlands,The Hague,Europe,Netherlands,The Hague,Painting||Visual,Landscape,,Hague School,0,0
898,Felice Casorati,Italian,Metaphysical||Neoclassical,1883/12/4,1963/3/1,79,19th-20th,Sagittarius,Italy,Novara,Europe,Italy,Turin,Painting||Printmaking||Sculpture,Figurative||Portrait||Still Life,Married,,1,0
899,Aaron Douglas,American,Harlem Renaissance,1899/5/26,1979/2/3,79,19th-20th,Gemini,United States,Topeka,North America,United States,Nashville,Education||Illustration||Painting,,,,1,0
